"","date","open","high","low","close","volume","dividend","split","adj_open","adj_high","adj_low","adj_close","adj_volume","return"
"1",2007-12-31,72.98,74.48,72.98,73.9,17600,0,1,233.50637347767,238.30576454668,233.50637347767,236.45,4400,NA
"2",2008-12-31,92.22,92.22,87.52,88.17,162800,0,1,368.88,368.88,350.08,352.68,40700,0.193098782138024
"3",2009-12-31,37.62,38.54,37.62,38.54,6800,0,1,150.48,154.16,150.48,154.16,1700,-0.562889871838494
"4",2010-12-31,27.07,27.07,26.377,26.7,27600,0,1,108.28,108.28,105.508,106.8,6900,-0.307213284898806
"5",2011-12-31,26.23,26.24,25.8509,25.94,47600,0,1,104.92,104.96,103.4036,103.76,11900,-0.0284644194756554
"6",2012-12-31,16.85,16.8788,16.47,16.47,22800,0,1,67.4,67.5152,65.88,65.88,5700,-0.365073245952197
"7",2013-12-31,41.6301,41.802,41.56,41.74,17300,0,1,41.6301,41.802,41.56,41.74,17300,1.53430479659988
"8",2014-12-31,43.45,43.56,43.09,43.09,5768,0,1,43.45,43.56,43.09,43.09,5768,0.0323430761859129
